Gene	Module	kME
b0002	UNCLASSIFIED	NA
b0003	UNCLASSIFIED	NA
b0004	UNCLASSIFIED	NA
b0005	UNCLASSIFIED	NA
b0006	UNCLASSIFIED	NA
b0007	P1_I7_M2	0.84
b0008	UNCLASSIFIED	NA
b0009	UNCLASSIFIED	NA
b0010	UNCLASSIFIED	NA
b0011	UNCLASSIFIED	NA
b0014	UNCLASSIFIED	NA
b0015	UNCLASSIFIED	NA
b0016	UNCLASSIFIED	NA
b0018	UNCLASSIFIED	NA
b0019	UNCLASSIFIED	NA
b0020	UNCLASSIFIED	NA
b0021	UNCLASSIFIED	NA
b0022	P1_I7_M3	0.85
b0023	P5_I3_M2	0.95
b0025	UNCLASSIFIED	NA
b0026	UNCLASSIFIED	NA
b0027	UNCLASSIFIED	NA
b0028	UNCLASSIFIED	NA
b0029	UNCLASSIFIED	NA
b0030	P1_I7_M5	0.9
b0031	UNCLASSIFIED	NA
b0032	P2_I5_M10	0.84
b0033	P2_I5_M10	0.82
b0034	UNCLASSIFIED	NA
b0036	UNCLASSIFIED	NA
b0037	UNCLASSIFIED	NA
b0038	UNCLASSIFIED	NA
b0039	UNCLASSIFIED	NA
b0040	UNCLASSIFIED	NA
b0041	UNCLASSIFIED	NA
b0042	UNCLASSIFIED	NA
b0043	UNCLASSIFIED	NA
b0045	UNCLASSIFIED	NA
b0046	UNCLASSIFIED	NA
b0047	P3_I4_M1	0.81
b0048	UNCLASSIFIED	NA
b0049	P3_I4_M1	0.83
b0050	UNCLASSIFIED	NA
b0051	P3_I4_M7	0.88
b0052	P3_I4_M7	0.92
b0053	UNCLASSIFIED	NA
b0054	UNCLASSIFIED	NA
b0055	UNCLASSIFIED	NA
b0058	UNCLASSIFIED	NA
b0059	UNCLASSIFIED	NA
b0060	P1_I7_M1	0.86
b0061	UNCLASSIFIED	NA
b0062	UNCLASSIFIED	NA
b0063	UNCLASSIFIED	NA
b0064	P4_I3_M4	0.84
b0065	UNCLASSIFIED	NA
b0066	UNCLASSIFIED	NA
b0067	UNCLASSIFIED	NA
b0068	UNCLASSIFIED	NA
b0069	UNCLASSIFIED	NA
b0070	UNCLASSIFIED	NA
b0071	UNCLASSIFIED	NA
b0072	UNCLASSIFIED	NA
b0073	UNCLASSIFIED	NA
b0074	UNCLASSIFIED	NA
b0076	UNCLASSIFIED	NA
b0077	P2_I5_M20	0.95
b0078	P2_I5_M20	0.89
b0080	UNCLASSIFIED	NA
b0081	UNCLASSIFIED	NA
b0082	UNCLASSIFIED	NA
